year_month,month_of_release,passenger_type,direction,citizenship,visa,country_of_residence,estimate,standard_error,status
2001-01,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,4,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,8,0,Final
2001-03,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,4,0,Final
2001-04,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,4,0,Final
2001-05,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,9,0,Final
2001-06,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,3,0,Final
2001-07,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,5,0,Final
2001-08,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,4,0,Final
2001-09,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,3,0,Final
2001-10,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,2,0,Final
2001-11,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,8,0,Final
2001-12,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,8,0,Final
2002-01,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,1,0,Final
2002-02,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,3,0,Final
2002-03,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,9,0,Final
2002-04,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,2,0,Final
2002-05,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,5,0,Final
2002-06,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,5,0,Final
2002-07,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,7,0,Final
2002-08,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,10,0,Final
2002-09,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,6,0,Final
2002-10,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,8,0,Final
2002-11,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,5,0,Final
2002-12,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,4,0,Final
2003-01,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,5,0,Final
2003-02,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,8,0,Final
2003-03,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,4,0,Final
2003-04,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,6,0,Final
2003-05,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,3,0,Final
2003-06,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,3,0,Final
2003-07,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,1,0,Final
2003-08,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,1,0,Final
2003-09,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,1,0,Final
2003-10,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,4,0,Final
2003-11,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,5,0,Final
2003-12,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,9,0,Final
2004-01,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,11,0,Final
2004-02,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,9,0,Final
2004-03,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,4,0,Final
2004-04,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,1,0,Final
2004-05,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,10,0,Final
2004-06,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,3,0,Final
2004-07,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,7,0,Final
2004-08,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,3,0,Final
2004-09,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,4,0,Final
2004-10,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,5,0,Final
2004-11,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,4,0,Final
2004-12,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,5,0,Final
2005-01,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,1,0,Final
2005-02,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,8,0,Final
2005-03,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,9,0,Final
2005-04,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,8,0,Final
2005-05,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,8,0,Final
2005-06,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,5,0,Final
2005-07,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,8,0,Final
2005-08,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,6,0,Final
2005-09,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,5,0,Final
2005-10,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,3,0,Final
2005-11,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,3,0,Final
2005-12,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,10,0,Final
2006-01,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,4,0,Final
2006-02,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,4,0,Final
2006-03,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,5,0,Final
2006-04,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,10,0,Final
2006-05,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,4,0,Final
2006-06,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,13,0,Final
2006-07,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,5,0,Final
2006-08,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,4,0,Final
2006-09,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,5,0,Final
2006-10,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,3,0,Final
2006-11,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,4,0,Final
2006-12,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,7,0,Final
2007-01,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,6,0,Final
2007-02,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,2,0,Final
2007-03,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,13,0,Final
2007-04,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,12,0,Final
2007-05,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,8,0,Final
2007-06,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,7,0,Final
2007-07,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,3,0,Final
2007-08,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,5,0,Final
2007-09,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,3,0,Final
2007-10,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,10,0,Final
2007-11,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,9,0,Final
2007-12,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,15,0,Final
2008-01,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,13,0,Final
2008-02,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,11,0,Final
2008-03,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,20,0,Final
2008-04,2020-09,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,India,8,0,Final
